Id,ActivityDay,StepTotal
1503960366,2016-04-12,13162
1624580081,2016-04-12,8163
1644430081,2016-04-12,10694
1844505072,2016-04-12,6697
1927972279,2016-04-12,678
2022484408,2016-04-12,11875
2026352035,2016-04-12,4414
2320127002,2016-04-12,10725
2347167796,2016-04-12,10113
2873212765,2016-04-12,8796
3372868164,2016-04-12,4747
3977333714,2016-04-12,8856
4020332650,2016-04-12,8539
4057192912,2016-04-12,5394
4319703577,2016-04-12,7753
4388161847,2016-04-12,10122
4445114986,2016-04-12,3276
4558609924,2016-04-12,5135
4702921684,2016-04-12,7213
5553957443,2016-04-12,11596
5577150313,2016-04-12,8135
6290855005,2016-04-12,4562
6962181067,2016-04-12,10199
7007744171,2016-04-12,14172
7086361926,2016-04-12,11317
8053475328,2016-04-12,18060
8253242879,2016-04-12,9033
8378563200,2016-04-12,7626
8583815059,2016-04-12,5014
8792009665,2016-04-12,2564
8877689391,2016-04-12,23186
1503960366,2016-04-13,10735
1624580081,2016-04-13,7007
1644430081,2016-04-13,8001
1844505072,2016-04-13,4929
1927972279,2016-04-13,356
2022484408,2016-04-13,12024
2026352035,2016-04-13,4993
2320127002,2016-04-13,7275
2347167796,2016-04-13,10352
2873212765,2016-04-13,7618
3372868164,2016-04-13,9715
3977333714,2016-04-13,10035
4057192912,2016-04-13,5974
4319703577,2016-04-13,8204
4388161847,2016-04-13,10993
4445114986,2016-04-13,2961
4558609924,2016-04-13,4978
4702921684,2016-04-13,6877
5553957443,2016-04-13,4832
5577150313,2016-04-13,5077
6290855005,2016-04-13,7142
6775888955,2016-04-13,4053
6962181067,2016-04-13,5652
7007744171,2016-04-13,12862
7086361926,2016-04-13,5813
8053475328,2016-04-13,16433
8253242879,2016-04-13,8053
8378563200,2016-04-13,12386
8583815059,2016-04-13,5571
8792009665,2016-04-13,1320
8877689391,2016-04-13,15337
1503960366,2016-04-14,10460
1624580081,2016-04-14,9107
1644430081,2016-04-14,11037
1844505072,2016-04-14,7937
1927972279,2016-04-14,2163
2022484408,2016-04-14,10690
2026352035,2016-04-14,3335
2320127002,2016-04-14,3973
2347167796,2016-04-14,10129
2873212765,2016-04-14,7910
3372868164,2016-04-14,8844
3977333714,2016-04-14,7641
4020332650,2016-04-14,108
4319703577,2016-04-14,10210
4388161847,2016-04-14,8863
4445114986,2016-04-14,3974
4558609924,2016-04-14,6799
4702921684,2016-04-14,7860
5553957443,2016-04-14,17022
5577150313,2016-04-14,8596
6290855005,2016-04-14,7671
6775888955,2016-04-14,5162
6962181067,2016-04-14,1551
7007744171,2016-04-14,11179
7086361926,2016-04-14,9123
8053475328,2016-04-14,20159
8253242879,2016-04-14,5234
8378563200,2016-04-14,13318
8583815059,2016-04-14,3135
8792009665,2016-04-14,1219
8877689391,2016-04-14,21129
1503960366,2016-04-15,9762
1624580081,2016-04-15,1510
1644430081,2016-04-15,5263
1844505072,2016-04-15,3844
1927972279,2016-04-15,980
2022484408,2016-04-15,11034
2026352035,2016-04-15,3821
2320127002,2016-04-15,5205
2347167796,2016-04-15,10465
2873212765,2016-04-15,8482
3372868164,2016-04-15,7451
3977333714,2016-04-15,9010
4020332650,2016-04-15,1882
4057192912,2016-04-15,3984
4319703577,2016-04-15,5664
4388161847,2016-04-15,8758
4445114986,2016-04-15,7198
4558609924,2016-04-15,7795
4702921684,2016-04-15,6506
5553957443,2016-04-15,16556
5577150313,2016-04-15,12087
6117666160,2016-04-15,14019
6290855005,2016-04-15,9501
6775888955,2016-04-15,1282
6962181067,2016-04-15,5563
7007744171,2016-04-15,5273
7086361926,2016-04-15,8585
8053475328,2016-04-15,20669
8253242879,2016-04-15,2672
8378563200,2016-04-15,14461
8583815059,2016-04-15,3430
8792009665,2016-04-15,2483
8877689391,2016-04-15,13422
1503960366,2016-04-16,12669
1624580081,2016-04-16,5370
1644430081,2016-04-16,15300
1844505072,2016-04-16,3414
2022484408,2016-04-16,10100
2026352035,2016-04-16,2547
2320127002,2016-04-16,5057
2347167796,2016-04-16,22244
2873212765,2016-04-16,9685
3372868164,2016-04-16,6905
3977333714,2016-04-16,13459
4020332650,2016-04-16,1982
4319703577,2016-04-16,4744
4388161847,2016-04-16,6580
4445114986,2016-04-16,3945
4558609924,2016-04-16,7289
4702921684,2016-04-16,11140
5553957443,2016-04-16,5771
5577150313,2016-04-16,14269
6117666160,2016-04-16,14450
6290855005,2016-04-16,8301
6775888955,2016-04-16,4732
6962181067,2016-04-16,13217
7007744171,2016-04-16,4631
7086361926,2016-04-16,31
8053475328,2016-04-16,14549
8253242879,2016-04-16,9256
8378563200,2016-04-16,11207
8583815059,2016-04-16,5319
8792009665,2016-04-16,244
8877689391,2016-04-16,29326
1503960366,2016-04-17,9705
1624580081,2016-04-17,6175
1644430081,2016-04-17,8757
1844505072,2016-04-17,4525
2022484408,2016-04-17,15112
2026352035,2016-04-17,838
2320127002,2016-04-17,6198
2347167796,2016-04-17,5472
2873212765,2016-04-17,2524
3372868164,2016-04-17,8199
3977333714,2016-04-17,10415
4020332650,2016-04-17,16
4319703577,2016-04-17,29
4388161847,2016-04-17,4660
4445114986,2016-04-17,2268
4558609924,2016-04-17,9634
4702921684,2016-04-17,12692
5553957443,2016-04-17,655
5577150313,2016-04-17,12231
6117666160,2016-04-17,7150
6290855005,2016-04-17,7851
6775888955,2016-04-17,2497
6962181067,2016-04-17,10145
7007744171,2016-04-17,8059
8053475328,2016-04-17,18827
8253242879,2016-04-17,10204
8378563200,2016-04-17,2132
8583815059,2016-04-17,3008
8877689391,2016-04-17,15118
1503960366,2016-04-18,13019
1624580081,2016-04-18,10536
1644430081,2016-04-18,7132
1844505072,2016-04-18,4597
1927972279,2016-04-18,244
2022484408,2016-04-18,14131
2026352035,2016-04-18,3325
2320127002,2016-04-18,6559
2347167796,2016-04-18,8247
2873212765,2016-04-18,7762
3372868164,2016-04-18,6798
3977333714,2016-04-18,11663
4020332650,2016-04-18,62
4319703577,2016-04-18,2276
4388161847,2016-04-18,11009
4445114986,2016-04-18,6155
4558609924,2016-04-18,8940
4702921684,2016-04-18,9105
5553957443,2016-04-18,3727
5577150313,2016-04-18,9893
6117666160,2016-04-18,5153
6290855005,2016-04-18,6885
6775888955,2016-04-18,8294
6962181067,2016-04-18,11404
7007744171,2016-04-18,14816
7086361926,2016-04-18,9827
8053475328,2016-04-18,17076
8253242879,2016-04-18,5151
8378563200,2016-04-18,13630
8583815059,2016-04-18,3864
8877689391,2016-04-18,11423
1503960366,2016-04-19,15506
1624580081,2016-04-19,2916
1644430081,2016-04-19,11256
1844505072,2016-04-19,197
2022484408,2016-04-19,11548
2026352035,2016-04-19,2424
2320127002,2016-04-19,5997
2347167796,2016-04-19,6711
2873212765,2016-04-19,7948
3372868164,2016-04-19,7711
3977333714,2016-04-19,12414
4319703577,2016-04-19,8925
4388161847,2016-04-19,10181
4445114986,2016-04-19,2064
4558609924,2016-04-19,5401
4702921684,2016-04-19,6708
5553957443,2016-04-19,15482
5577150313,2016-04-19,12574
6117666160,2016-04-19,11135
6290855005,2016-04-19,7142
6962181067,2016-04-19,10742
7007744171,2016-04-19,14194
7086361926,2016-04-19,10688
8053475328,2016-04-19,15929
8253242879,2016-04-19,4212
8378563200,2016-04-19,13070
8583815059,2016-04-19,5697
8877689391,2016-04-19,18785
1503960366,2016-04-20,10544
1624580081,2016-04-20,4974
1644430081,2016-04-20,2436
1844505072,2016-04-20,8
2022484408,2016-04-20,15112
2026352035,2016-04-20,7222
2320127002,2016-04-20,7192
2347167796,2016-04-20,10999
2873212765,2016-04-20,9202
3372868164,2016-04-20,4880
3977333714,2016-04-20,11658
4319703577,2016-04-20,8954
4388161847,2016-04-20,10553
4445114986,2016-04-20,2072
4558609924,2016-04-20,4803
4702921684,2016-04-20,8793
5553957443,2016-04-20,2713
5577150313,2016-04-20,8330
6117666160,2016-04-20,10449
6290855005,2016-04-20,6361
6775888955,2016-04-20,10771
6962181067,2016-04-20,13928
7007744171,2016-04-20,15566
7086361926,2016-04-20,14365
8053475328,2016-04-20,15108
8253242879,2016-04-20,6466
8378563200,2016-04-20,9388
8583815059,2016-04-20,5273
8792009665,2016-04-20,3147
8877689391,2016-04-20,19948
1503960366,2016-04-21,9819
1624580081,2016-04-21,6349
1644430081,2016-04-21,1223
1844505072,2016-04-21,8054
2022484408,2016-04-21,12453
2026352035,2016-04-21,2467
2320127002,2016-04-21,3404
2347167796,2016-04-21,10080
2873212765,2016-04-21,8859
3372868164,2016-04-21,8857
3977333714,2016-04-21,6093
4319703577,2016-04-21,3702
4388161847,2016-04-21,10055
4445114986,2016-04-21,3809
4558609924,2016-04-21,13743
4702921684,2016-04-21,6530
5553957443,2016-04-21,12346
5577150313,2016-04-21,10830
6117666160,2016-04-21,19542
6962181067,2016-04-21,11835
7007744171,2016-04-21,13744
7086361926,2016-04-21,9469
8053475328,2016-04-21,16057
8253242879,2016-04-21,11268
8378563200,2016-04-21,15148
8583815059,2016-04-21,8538
8792009665,2016-04-21,144
8877689391,2016-04-21,19377
1503960366,2016-04-22,12764
1624580081,2016-04-22,4026
1644430081,2016-04-22,3673
1844505072,2016-04-22,5372
1927972279,2016-04-22,149
2022484408,2016-04-22,12954
2026352035,2016-04-22,2915
2320127002,2016-04-22,5583
2347167796,2016-04-22,7804
2873212765,2016-04-22,7286
3372868164,2016-04-22,3843
3977333714,2016-04-22,8911
4319703577,2016-04-22,4500
4388161847,2016-04-22,12139
4445114986,2016-04-22,6831
4558609924,2016-04-22,9601
4702921684,2016-04-22,1664
5553957443,2016-04-22,11682
5577150313,2016-04-22,9172
6117666160,2016-04-22,8206
6290855005,2016-04-22,6238
6775888955,2016-04-22,637
6962181067,2016-04-22,10725
7007744171,2016-04-22,15299
7086361926,2016-04-22,9753
8053475328,2016-04-22,10520
8253242879,2016-04-22,2824
8378563200,2016-04-22,12200
8583815059,2016-04-22,8687
8792009665,2016-04-22,4068
8877689391,2016-04-22,18258
1503960366,2016-04-23,14371
1624580081,2016-04-23,8538
1644430081,2016-04-23,6637
1844505072,2016-04-23,3570
1927972279,2016-04-23,2945
2022484408,2016-04-23,6001
2026352035,2016-04-23,12357
2320127002,2016-04-23,5079
2347167796,2016-04-23,16901
2873212765,2016-04-23,9317
3372868164,2016-04-23,7396
3977333714,2016-04-23,12058
4319703577,2016-04-23,4935
4388161847,2016-04-23,13236
4445114986,2016-04-23,4363
4558609924,2016-04-23,6890
4702921684,2016-04-23,15126
5553957443,2016-04-23,4112
5577150313,2016-04-23,7638
6117666160,2016-04-23,11495
6962181067,2016-04-23,20031
7007744171,2016-04-23,8093
7086361926,2016-04-23,2817
8053475328,2016-04-23,22359
8253242879,2016-04-23,9282
8378563200,2016-04-23,5709
8583815059,2016-04-23,9423
8792009665,2016-04-23,5245
8877689391,2016-04-23,11200
1503960366,2016-04-24,10039
1624580081,2016-04-24,6076
1644430081,2016-04-24,3321
1927972279,2016-04-24,2090
2022484408,2016-04-24,13481
2026352035,2016-04-24,3490
2320127002,2016-04-24,4165
2347167796,2016-04-24,9471
2873212765,2016-04-24,6873
3372868164,2016-04-24,6731
3977333714,2016-04-24,14112
4319703577,2016-04-24,4081
4388161847,2016-04-24,10243
4445114986,2016-04-24,5002
4558609924,2016-04-24,8563
4702921684,2016-04-24,15050
5553957443,2016-04-24,1807
5577150313,2016-04-24,15764
6117666160,2016-04-24,7623
6290855005,2016-04-24,5896
6775888955,2016-04-24,2153
6962181067,2016-04-24,5029
7007744171,2016-04-24,11085
7086361926,2016-04-24,3520
8053475328,2016-04-24,22988
8253242879,2016-04-24,8905
8378563200,2016-04-24,3703
8583815059,2016-04-24,8286
8792009665,2016-04-24,400
8877689391,2016-04-24,16674
1503960366,2016-04-25,15355
1624580081,2016-04-25,6497
1644430081,2016-04-25,3580
1927972279,2016-04-25,152
2022484408,2016-04-25,11369
2026352035,2016-04-25,6017
2320127002,2016-04-25,3588
2347167796,2016-04-25,9482
2873212765,2016-04-25,7373
3372868164,2016-04-25,5995
3977333714,2016-04-25,11177
4319703577,2016-04-25,9259
4388161847,2016-04-25,12961
4445114986,2016-04-25,3385
4558609924,2016-04-25,8095
4702921684,2016-04-25,9167
5553957443,2016-04-25,10946
5577150313,2016-04-25,6393
6290855005,2016-04-25,7802
6775888955,2016-04-25,6474
6962181067,2016-04-25,13239
7007744171,2016-04-25,18229
7086361926,2016-04-25,10091
8053475328,2016-04-25,20500
8253242879,2016-04-25,6829
8378563200,2016-04-25,12405
8583815059,2016-04-25,4503
8877689391,2016-04-25,12986
1503960366,2016-04-26,13755
1624580081,2016-04-26,2826
1644430081,2016-04-26,9919
1927972279,2016-04-26,3761
2022484408,2016-04-26,10119
2026352035,2016-04-26,5933
2320127002,2016-04-26,3409
2347167796,2016-04-26,5980
2873212765,2016-04-26,8242
3372868164,2016-04-26,8283
3977333714,2016-04-26,11388
4319703577,2016-04-26,9899
4388161847,2016-04-26,9461
4445114986,2016-04-26,6326
4558609924,2016-04-26,9148
4702921684,2016-04-26,6108
5553957443,2016-04-26,11886
5577150313,2016-04-26,5325
6117666160,2016-04-26,9543
6775888955,2016-04-26,7091
6962181067,2016-04-26,10433
7007744171,2016-04-26,15090
7086361926,2016-04-26,10387
8053475328,2016-04-26,12685
8253242879,2016-04-26,4562
8378563200,2016-04-26,16208
8583815059,2016-04-26,10499
8792009665,2016-04-26,1321
8877689391,2016-04-26,11101
1503960366,2016-04-27,18134
1624580081,2016-04-27,8367
1644430081,2016-04-27,3032
1844505072,2016-04-27,4
2022484408,2016-04-27,10159
2026352035,2016-04-27,6088
2320127002,2016-04-27,1715
2347167796,2016-04-27,11423
2873212765,2016-04-27,3516
3372868164,2016-04-27,7904
3977333714,2016-04-27,7193
4319703577,2016-04-27,10780
4388161847,2016-04-27,11193
4445114986,2016-04-27,7243
4558609924,2016-04-27,9557
4702921684,2016-04-27,7047
5553957443,2016-04-27,10538
5577150313,2016-04-27,6805
6117666160,2016-04-27,9411
6290855005,2016-04-27,5565
6962181067,2016-04-27,10320
7007744171,2016-04-27,13541
7086361926,2016-04-27,11107
8053475328,2016-04-27,12422
8253242879,2016-04-27,10232
8378563200,2016-04-27,7359
8583815059,2016-04-27,12474
8792009665,2016-04-27,1758
8877689391,2016-04-27,23629
1503960366,2016-04-28,13154
1624580081,2016-04-28,2759
1644430081,2016-04-28,9405
1844505072,2016-04-28,6907
1927972279,2016-04-28,1675
2022484408,2016-04-28,10140
2026352035,2016-04-28,6375
2320127002,2016-04-28,1532
2347167796,2016-04-28,5439
2873212765,2016-04-28,7913
3372868164,2016-04-28,5512
3977333714,2016-04-28,7114
4319703577,2016-04-28,10817
4388161847,2016-04-28,10074
4445114986,2016-04-28,4493
4558609924,2016-04-28,9451
4702921684,2016-04-28,9023
5553957443,2016-04-28,11393
5577150313,2016-04-28,9841
6117666160,2016-04-28,3403
6290855005,2016-04-28,5731
6775888955,2016-04-28,703
6962181067,2016-04-28,12627
7007744171,2016-04-28,15128
7086361926,2016-04-28,11584
8053475328,2016-04-28,15447
8253242879,2016-04-28,2718
8378563200,2016-04-28,5417
8583815059,2016-04-28,6174
8792009665,2016-04-28,6157
8877689391,2016-04-28,14890
1503960366,2016-04-29,11181
1624580081,2016-04-29,2390
1644430081,2016-04-29,3176
1844505072,2016-04-29,4920
2022484408,2016-04-29,10245
2026352035,2016-04-29,7604
2320127002,2016-04-29,924
2347167796,2016-04-29,42
2873212765,2016-04-29,7365
3372868164,2016-04-29,9135
3977333714,2016-04-29,10645
4319703577,2016-04-29,7990
4388161847,2016-04-29,9232
4445114986,2016-04-29,4676
4558609924,2016-04-29,7833
4702921684,2016-04-29,9930
5553957443,2016-04-29,12764
5577150313,2016-04-29,7924
6117666160,2016-04-29,9592
6962181067,2016-04-29,10762
7007744171,2016-04-29,20067
7086361926,2016-04-29,7881
8053475328,2016-04-29,12315
8253242879,2016-04-29,6260
8378563200,2016-04-29,6175
8583815059,2016-04-29,15168
8792009665,2016-04-29,8360
8877689391,2016-04-29,9733
1503960366,2016-04-30,14673
1624580081,2016-04-30,6474
1644430081,2016-04-30,18213
1844505072,2016-04-30,4014
2022484408,2016-04-30,18387
2026352035,2016-04-30,4729
2320127002,2016-04-30,4571
2873212765,2016-04-30,8452
3372868164,2016-04-30,5250
3977333714,2016-04-30,13238
4319703577,2016-04-30,8221
4388161847,2016-04-30,12533
4445114986,2016-04-30,6222
4558609924,2016-04-30,10319
4702921684,2016-04-30,10144
5553957443,2016-04-30,1202
5577150313,2016-04-30,12363
6117666160,2016-04-30,6987
6290855005,2016-04-30,6744
6775888955,2016-04-30,2503
6962181067,2016-04-30,10081
7007744171,2016-04-30,3761
7086361926,2016-04-30,14560
8053475328,2016-04-30,7135
8378563200,2016-04-30,2946
8583815059,2016-04-30,10085
8792009665,2016-04-30,7174
8877689391,2016-04-30,27745
1503960366,2016-05-01,10602
1624580081,2016-05-01,36019
1644430081,2016-05-01,6132
1844505072,2016-05-01,2573
1927972279,2016-05-01,2704
2022484408,2016-05-01,10538
2026352035,2016-05-01,3609
2320127002,2016-05-01,772
2873212765,2016-05-01,7399
3372868164,2016-05-01,3077
3977333714,2016-05-01,10414
4319703577,2016-05-01,1251
4388161847,2016-05-01,10255
4445114986,2016-05-01,5232
4558609924,2016-05-01,3428
5553957443,2016-05-01,5164
5577150313,2016-05-01,13368
6117666160,2016-05-01,8915
6290855005,2016-05-01,9837
6775888955,2016-05-01,2487
6962181067,2016-05-01,5454
7007744171,2016-05-01,5600
7086361926,2016-05-01,12390
8053475328,2016-05-01,1170
8378563200,2016-05-01,11419
8583815059,2016-05-01,4512
8792009665,2016-05-01,1619
8877689391,2016-05-01,10930
1503960366,2016-05-02,14727
1624580081,2016-05-02,7155
1644430081,2016-05-02,3758
1927972279,2016-05-02,3790
2022484408,2016-05-02,10379
2026352035,2016-05-02,7018
2320127002,2016-05-02,3634
2873212765,2016-05-02,7525
3977333714,2016-05-02,16520
4020332650,2016-05-02,475
4319703577,2016-05-02,9261
4388161847,2016-05-02,10096
4445114986,2016-05-02,6910
4558609924,2016-05-02,7891
4702921684,2016-05-02,7245
5553957443,2016-05-02,9769
5577150313,2016-05-02,7439
6117666160,2016-05-02,4933
6290855005,2016-05-02,6781
6962181067,2016-05-02,12912
7007744171,2016-05-02,13041
7086361926,2016-05-02,10052
8053475328,2016-05-02,1969
8378563200,2016-05-02,6064
8583815059,2016-05-02,8469
8792009665,2016-05-02,1831
8877689391,2016-05-02,4790
1503960366,2016-05-03,15103
1624580081,2016-05-03,2100
1644430081,2016-05-03,12850
1844505072,2016-05-03,4059
1927972279,2016-05-03,1326
2022484408,2016-05-03,12183
2026352035,2016-05-03,5992
2320127002,2016-05-03,7443
2873212765,2016-05-03,7412
3977333714,2016-05-03,14335
4020332650,2016-05-03,4496
4319703577,2016-05-03,9648
4388161847,2016-05-03,12727
4445114986,2016-05-03,7502
4558609924,2016-05-03,5267
4702921684,2016-05-03,9454
5553957443,2016-05-03,12848
5577150313,2016-05-03,11045
6290855005,2016-05-03,6047
6775888955,2016-05-03,9
6962181067,2016-05-03,12109
7007744171,2016-05-03,14510
7086361926,2016-05-03,10288
8053475328,2016-05-03,15484
8378563200,2016-05-03,8712
8583815059,2016-05-03,12015
8792009665,2016-05-03,2421
8877689391,2016-05-03,10818
1503960366,2016-05-04,11100
1624580081,2016-05-04,2193
1644430081,2016-05-04,2309
1844505072,2016-05-04,2080
1927972279,2016-05-04,1786
2022484408,2016-05-04,11768
2026352035,2016-05-04,6564
2320127002,2016-05-04,1201
2873212765,2016-05-04,8278
3977333714,2016-05-04,13559
4020332650,2016-05-04,10252
4319703577,2016-05-04,10429
4388161847,2016-05-04,12375
4445114986,2016-05-04,2923
4558609924,2016-05-04,5232
4702921684,2016-05-04,8161
5553957443,2016-05-04,4249
5577150313,2016-05-04,5206
6117666160,2016-05-04,2997
6290855005,2016-05-04,5832
6962181067,2016-05-04,10147
7086361926,2016-05-04,10988
8053475328,2016-05-04,14581
8378563200,2016-05-04,7875
8583815059,2016-05-04,3588
8792009665,2016-05-04,2283
8877689391,2016-05-04,18193
1503960366,2016-05-05,14070
1624580081,2016-05-05,2470
1644430081,2016-05-05,4363
1844505072,2016-05-05,2237
2022484408,2016-05-05,11895
2026352035,2016-05-05,12167
2320127002,2016-05-05,5202
2873212765,2016-05-05,8314
3977333714,2016-05-05,12312
4020332650,2016-05-05,11728
4319703577,2016-05-05,13658
4388161847,2016-05-05,9603
4445114986,2016-05-05,3800
4558609924,2016-05-05,10611
4702921684,2016-05-05,8614
5553957443,2016-05-05,14331
5577150313,2016-05-05,7550
6117666160,2016-05-05,9799
6290855005,2016-05-05,6339
6962181067,2016-05-05,10524
7007744171,2016-05-05,15010
7086361926,2016-05-05,8564
8053475328,2016-05-05,14990
8378563200,2016-05-05,8567
8583815059,2016-05-05,12427
8877689391,2016-05-05,14055
1503960366,2016-05-06,12159
1624580081,2016-05-06,1727
1644430081,2016-05-06,9787
1844505072,2016-05-06,44
1927972279,2016-05-06,2091
2022484408,2016-05-06,10227
2026352035,2016-05-06,8198
2320127002,2016-05-06,4878
2873212765,2016-05-06,7063
3977333714,2016-05-06,11677
4020332650,2016-05-06,4369
4319703577,2016-05-06,9524
4388161847,2016-05-06,13175
4445114986,2016-05-06,4514
4558609924,2016-05-06,3755
4702921684,2016-05-06,6943
5553957443,2016-05-06,9632
5577150313,2016-05-06,4950
6117666160,2016-05-06,3365
6290855005,2016-05-06,6116
6775888955,2016-05-06,4697
6962181067,2016-05-06,5908
7007744171,2016-05-06,11459
7086361926,2016-05-06,12461
8053475328,2016-05-06,13953
8378563200,2016-05-06,7045
8583815059,2016-05-06,5843
8877689391,2016-05-06,21727
1503960366,2016-05-07,11992
1624580081,2016-05-07,2104
1644430081,2016-05-07,13372
1927972279,2016-05-07,1510
2022484408,2016-05-07,6708
2026352035,2016-05-07,4193
2320127002,2016-05-07,7379
2873212765,2016-05-07,4940
3977333714,2016-05-07,11550
4020332650,2016-05-07,6132
4319703577,2016-05-07,7937
4388161847,2016-05-07,22770
4445114986,2016-05-07,5183
4558609924,2016-05-07,8237
4702921684,2016-05-07,14370
5553957443,2016-05-07,1868
6117666160,2016-05-07,7336
6290855005,2016-05-07,5510
6775888955,2016-05-07,1967
6962181067,2016-05-07,6815
7086361926,2016-05-07,12827
8053475328,2016-05-07,19769
8378563200,2016-05-07,4468
8583815059,2016-05-07,6117
8877689391,2016-05-07,12332
1503960366,2016-05-08,10060
1624580081,2016-05-08,3427
1644430081,2016-05-08,6724
2022484408,2016-05-08,3292
2026352035,2016-05-08,5528
2320127002,2016-05-08,5161
2873212765,2016-05-08,8168
3977333714,2016-05-08,13585
4020332650,2016-05-08,5862
4319703577,2016-05-08,3672
4388161847,2016-05-08,17298
4445114986,2016-05-08,7303
4558609924,2016-05-08,6543
4702921684,2016-05-08,12857
5553957443,2016-05-08,6083
6117666160,2016-05-08,7328
6290855005,2016-05-08,7706
6962181067,2016-05-08,4188
7086361926,2016-05-08,10677
8053475328,2016-05-08,22026
8378563200,2016-05-08,2943
8583815059,2016-05-08,9217
8877689391,2016-05-08,10686
1503960366,2016-05-09,12022
1624580081,2016-05-09,1732
1644430081,2016-05-09,6643
2022484408,2016-05-09,13379
2026352035,2016-05-09,10685
2320127002,2016-05-09,3090
2873212765,2016-05-09,7726
3977333714,2016-05-09,14687
4020332650,2016-05-09,4556
4319703577,2016-05-09,10378
4388161847,2016-05-09,10218
4445114986,2016-05-09,5275
4558609924,2016-05-09,11451
4702921684,2016-05-09,8232
5553957443,2016-05-09,11611
5577150313,2016-05-09,3421
6117666160,2016-05-09,4477
6290855005,2016-05-09,6277
6962181067,2016-05-09,12342
7086361926,2016-05-09,13566
8053475328,2016-05-09,12465
8378563200,2016-05-09,8382
8583815059,2016-05-09,9877
8877689391,2016-05-09,20226
1503960366,2016-05-10,12207
1624580081,2016-05-10,2969
1644430081,2016-05-10,9167
2022484408,2016-05-10,12798
2026352035,2016-05-10,254
2320127002,2016-05-10,6227
2873212765,2016-05-10,8275
3977333714,2016-05-10,13072
4020332650,2016-05-10,5546
4319703577,2016-05-10,9487
4388161847,2016-05-10,10299
4445114986,2016-05-10,3915
4558609924,2016-05-10,6435
4702921684,2016-05-10,10613
5553957443,2016-05-10,16358
5577150313,2016-05-10,8869
6962181067,2016-05-10,15448
7086361926,2016-05-10,14433
8053475328,2016-05-10,14810
8378563200,2016-05-10,6582
8583815059,2016-05-10,8240
8877689391,2016-05-10,10733
1503960366,2016-05-11,12770
1624580081,2016-05-11,3134
1644430081,2016-05-11,1329
2022484408,2016-05-11,13272
2026352035,2016-05-11,8580
2320127002,2016-05-11,6424
2873212765,2016-05-11,6440
3977333714,2016-05-11,746
4020332650,2016-05-11,3689
4319703577,2016-05-11,9129
4388161847,2016-05-11,10201
4445114986,2016-05-11,9105
4558609924,2016-05-11,9108
4702921684,2016-05-11,9810
5553957443,2016-05-11,4926
5577150313,2016-05-11,4038
6962181067,2016-05-11,6722
7086361926,2016-05-11,9572
8053475328,2016-05-11,12209
8378563200,2016-05-11,9143
8583815059,2016-05-11,8701
8877689391,2016-05-11,21420
1624580081,2016-05-12,2971
2022484408,2016-05-12,9117
2026352035,2016-05-12,8891
2320127002,2016-05-12,2661
2873212765,2016-05-12,7566
4020332650,2016-05-12,590
4319703577,2016-05-12,17
4388161847,2016-05-12,3369
4445114986,2016-05-12,768
4558609924,2016-05-12,6307
4702921684,2016-05-12,2752
5553957443,2016-05-12,3121
6962181067,2016-05-12,3587
7086361926,2016-05-12,3789
8053475328,2016-05-12,4998
8378563200,2016-05-12,4561
8877689391,2016-05-12,8064