Id,days_reported,avg_total_steps,avg_daily_calories
1503960366,30,12520.633333333333,1876.9666666666683
1624580081,31,5743.9032258064453,1483.3548387096766
1644430081,30,7282.9666666666608,2811.2999999999984
1844505072,21,3808.6666666666629,1573.483870967742
1927972279,17,1670.588235294118,2172.8064516129048
2022484408,31,11370.645161290326,2509.9677419354807
2026352035,31,5566.8709677419311,1540.6451612903238
2320127002,31,4716.8709677419347,1724.1612903225821
2347167796,18,9519.66666666667,2043.4444444444437
2873212765,31,7555.7741935483864,1916.9677419354873
3372868164,20,6861.6500000000005,1933.0999999999997
3977333714,30,10984.566666666664,1513.6666666666681
4020332650,17,4134.3529411764657,2385.8064516129052
4057192912,3,5117.333333333333,1973.75
4319703577,31,7268.8387096774195,2037.6774193548374
4388161847,31,10813.935483870971,3093.8709677419383
4445114986,31,4796.5483870967792,2186.1935483870971
4558609924,31,7685.1290322580726,2033.258064516129
4702921684,30,8857.8000000000156,2965.5483870967714
5553957443,31,8612.5806451612771,1875.6774193548395
5577150313,28,8897.6071428571358,3359.6333333333323
6290855005,24,6826.5416666666688,2692.4642857142853
6962181067,31,9794.8064516128888,1982.032258064517
7007744171,24,12267.041666666662,2543.9999999999991
7086361926,30,9684.1666666666752,2566.3548387096748
8053475328,31,14763.290322580615,2945.8064516129011
8253242879,18,6842.2777777777783,1887.3333333333335
8378563200,31,8717.7096774193578,3436.5806451612889
8583815059,30,7438.4666666666644,2823.099999999999
8792009665,19,2829.3684210526317,1962.3103448275861
8877689391,31,16040.032258064524,3420.2580645161283
6775888955,17,3853.6470588235306,2131.7692307692337
6117666160,23,8578.6086956521685,2261.1428571428573